"ID"	"Sex"	"Age_Days"	"Exp"	"Rec"	"TestPhase"	"ConSoc"	"ConOut"	"Condition"	"Dyad"	"Object"	"ObjectPos"	"ObjectPosAct"	"TrialRun"	"TrialCon"	"OutcomeDuration"	"TwoSecCheck"	"TotalLTScreenOut"	"TotalLTObjectOut"	"LTScreenOut"	"LTObjectOut"	"FirstLookDurationObjectOutTop"	"FirstLookDurationObjectOutBottom"	"FirstLookDurationObjectOut"	"FirstLookDurationObjectOutTopReason"	"FirstLookDurationObjectOutBottomReason"	"FirstLookDurationObjectOutReason"	"FirstLookDurationScreen"	"TotalLTScreenAct"	"TotalLTObjectAct"	"TotalLTActorLeftAct"	"TotalLTActorRightAct"	"TotalLTActorSumAct"	"TotalLTFaceLeftAct"	"TotalLTFaceRightAct"	"TotalLTFaceSumAct"	"LTScreenAct_5to6"	"LTScreenAct_7to8"	"LTScreenAct_9to10"	"LTScreenAct_11to12"	"LTScreenAct_13to14"	"LTScreenAct_15to16"	"InterPhaseCheckerSoc"	"InterPhaseCheckerGazing"	"InterPhaseCheckerValid"
"26"	"M"	"286"	"Exp2"	"Rec26"	"THIRD-TEST"	"COM"	"LOCATION"	3	"D1"	"OBJ-9"	"UNTEN"	"OBEN"	1	1	15136	FALSE	8946	6763	8946	5964	300	533	533	"outside"	"outside"	"outside"	2348	13743	0	6579	4864	11443	6579	4864	11443	267	1332	583	583	583	284	TRUE	TRUE	TRUE
"26"	"M"	"286"	"Exp2"	"Rec26"	"THIRD-TEST"	"NCOM"	"IDENTITY"	5	"D2"	"OBJ-3"	"OBEN"	"OBEN"	2	1	15135	TRUE	5109	4164	3165	2365	900	0	900	"outside"	""	"outside"	4396	11943	684	5179	5980	11159	5179	5980	11159	433	533	649	916	917	400	TRUE	TRUE	TRUE
"26"	"M"	"286"	"Exp2"	"Rec26"	"THIRD-TEST"	"COM"	"NO"	1	"D2"	"OBJ-8"	"UNTEN"	"UNTEN"	3	1	15118	TRUE	6606	5690	2182	1266	0	550	550	""	"outside"	"outside"	2215	7843	84	2995	3047	6042	1997	682	2679	416	17	0	567	682	0	TRUE	TRUE	TRUE
"26"	"M"	"286"	"Exp2"	"Rec26"	"THIRD-TEST"	"NCOM"	"LOCATION"	6	"D1"	"OBJ-5"	"OBEN"	"OBEN"	4	1	15148	TRUE	6443	5511	1732	1033	783	0	783	"outside"	""	"outside"	2232	12626	233	7728	4532	12260	7728	4232	11960	299	16	334	0	634	400	TRUE	TRUE	TRUE
"26"	"M"	"286"	"Exp2"	"Rec26"	"THIRD-TEST"	"COM"	"IDENTITY"	2	"D2"	"OBJ-12"	"OBEN"	"UNTEN"	5	1	15135	TRUE	4091	2493	1682	716	583	133	583	"outside"	"outside"	"outside"	2115	13191	0	5729	5181	10910	5729	4931	10660	416	633	367	567	466	783	TRUE	TRUE	TRUE
"26"	"M"	"286"	"Exp2"	"Rec26"	"THIRD-TEST"	"NCOM"	"NO"	4	"D1"	"OBJ-2"	"UNTEN"	"UNTEN"	6	1	15108	TRUE	10095	9462	1533	1033	0	549	549	""	"outside"	"outside"	1665	13773	1049	7894	4430	12324	7894	4430	12324	449	400	915	733	866	266	TRUE	TRUE	TRUE
"26"	"M"	"286"	"Exp2"	"Rec26"	"THIRD-TEST"	"NCOM"	"LOCATION"	6	"D1"	"OBJ-6"	"UNTEN"	"UNTEN"	7	2	15141	TRUE	3663	3330	2448	2448	0	966	966	""	"outside"	"outside"	966	12976	1215	3283	7978	11261	3283	7878	11161	433	716	0	849	117	766	TRUE	TRUE	TRUE
"26"	"M"	"286"	"Exp2"	"Rec26"	"THIRD-TEST"	"COM"	"IDENTITY"	2	"D2"	"OBJ-11"	"UNTEN"	"OBEN"	8	2	15132	TRUE	4464	4247	4064	3947	0	1482	1482	""	"outside"	"outside"	2948	6829	0	1665	3931	5596	1665	3665	5330	733	582	0	550	583	0	TRUE	TRUE	TRUE
"26"	"M"	"286"	"Exp2"	"Rec26"	"THIRD-TEST"	"NCOM"	"NO"	4	"D1"	"OBJ-1"	"OBEN"	"OBEN"	9	2	15138	TRUE	2166	1866	1416	1249	650	0	650	"outside"	""	"outside"	1699	12458	2648	2048	7612	9660	2048	7612	9660	467	533	949	966	716	616	TRUE	TRUE	TRUE
"26"	"M"	"286"	"Exp2"	"Rec26"	"THIRD-TEST"	"COM"	"NO"	1	"D2"	"OBJ-7"	"OBEN"	"OBEN"	10	2	15147	TRUE	3181	1849	3014	1682	933	0	933	"outside"	""	"outside"	2881	10607	0	5693	4797	10490	5610	4098	9708	283	0	383	799	549	283	TRUE	TRUE	TRUE
"26"	"M"	"286"	"Exp2"	"Rec26"	"THIRD-TEST"	"NCOM"	"IDENTITY"	5	"D2"	"OBJ-4"	"UNTEN"	"UNTEN"	11	2	15126	TRUE	5729	4630	3314	2331	0	950	950	""	"outside"	"outside"	1283	10910	1699	6396	2615	9011	5896	2615	8511	483	233	700	167	67	0	TRUE	TRUE	TRUE
"26"	"M"	"286"	"Exp2"	"Rec26"	"THIRD-TEST"	"COM"	"LOCATION"	3	"D1"	"OBJ-10"	"OBEN"	"UNTEN"	12	2	15165	FALSE	7196	4647	7196	4647	1016	0	1016	"outside"	""	"outside"	1865	10511	0	4331	4697	9028	4331	4697	9028	451	982	0	100	432	0	TRUE	TRUE	TRUE
