"ID"	"Sex"	"Age_Days"	"Exp"	"Rec"	"TestPhase"	"ConSoc"	"ConOut"	"Condition"	"Dyad"	"Object"	"ObjectPos"	"ObjectPosAct"	"TrialRun"	"TrialCon"	"OutcomeDuration"	"TwoSecCheck"	"TotalLTScreenOut"	"TotalLTObjectOut"	"LTScreenOut"	"LTObjectOut"	"FirstLookDurationObjectOutTop"	"FirstLookDurationObjectOutBottom"	"FirstLookDurationObjectOut"	"FirstLookDurationObjectOutTopReason"	"FirstLookDurationObjectOutBottomReason"	"FirstLookDurationObjectOutReason"	"FirstLookDurationScreen"	"TotalLTScreenAct"	"TotalLTObjectAct"	"TotalLTActorLeftAct"	"TotalLTActorRightAct"	"TotalLTActorSumAct"	"TotalLTFaceLeftAct"	"TotalLTFaceRightAct"	"TotalLTFaceSumAct"	"LTScreenAct_5to6"	"LTScreenAct_7to8"	"LTScreenAct_9to10"	"LTScreenAct_11to12"	"LTScreenAct_13to14"	"LTScreenAct_15to16"	"InterPhaseCheckerSoc"	"InterPhaseCheckerGazing"	"InterPhaseCheckerValid"
"32"	"M"	"291"	"Exp2"	"Rec32"	"THIRD-TEST"	"COM"	"LOCATION"	3	"D1"	"OBJ-9"	"UNTEN"	"OBEN"	1	1	15166	FALSE	10219	8653	10219	8653	0	766	766	""	"outside"	"outside"	766	14091	0	2814	11277	14091	2814	11277	14091	466	117	150	799	433	866	TRUE	TRUE	TRUE
"32"	"M"	"291"	"Exp2"	"Rec32"	"THIRD-TEST"	"NCOM"	"NO"	4	"D2"	"OBJ-3"	"OBEN"	"OBEN"	2	1	15167	TRUE	7127	4829	3647	616	616	2215	616	"timecriterion"	"outside"	"timecriterion"	3914	10775	0	4897	5878	10775	4664	5878	10542	883	933	649	950	0	0	TRUE	TRUE	TRUE
"32"	"M"	"291"	"Exp2"	"Rec32"	"THIRD-TEST"	"COM"	"NO"	1	"D2"	"OBJ-8"	"UNTEN"	"UNTEN"	3	1	15148	TRUE	6778	6128	5130	4680	200	716	716	"outside"	"outside"	"outside"	716	13657	284	10841	2165	13006	10841	2165	13006	832	1066	667	616	3348	1349	TRUE	TRUE	TRUE
"32"	"M"	"291"	"Exp2"	"Rec32"	"THIRD-TEST"	"COM"	"IDENTITY"	2	"D1"	"OBJ-5"	"OBEN"	"OBEN"	4	1	15123	FALSE	11159	9244	11159	9244	1032	0	1032	"outside"	""	"outside"	3747	14439	766	12673	1000	13673	12673	1000	13673	833	1050	916	1133	816	3447	TRUE	TRUE	TRUE
"32"	"M"	"291"	"Exp2"	"Rec32"	"THIRD-TEST"	"NCOM"	"IDENTITY"	5	"D2"	"OBJ-12"	"OBEN"	"UNTEN"	5	1	13634	FALSE	3031	2414	3031	2414	1183	0	1183	"outside"	""	"outside"	1183	13657	0	9809	3215	13024	9809	3215	13024	283	200	866	517	1033	933	TRUE	TRUE	TRUE
"32"	"M"	"291"	"Exp2"	"Rec32"	"THIRD-TEST"	"NCOM"	"LOCATION"	6	"D1"	"OBJ-2"	"UNTEN"	"UNTEN"	6	1	15122	TRUE	2448	2448	1732	1732	0	1749	1749	""	"outside"	"outside"	1749	14240	0	3014	11226	14240	3014	11226	14240	466	732	816	616	816	116	TRUE	TRUE	TRUE
"32"	"M"	"291"	"Exp2"	"Rec32"	"THIRD-TEST"	"COM"	"IDENTITY"	2	"D1"	"OBJ-6"	"UNTEN"	"UNTEN"	7	2	15152	TRUE	6726	6726	1616	1616	0	1766	1766	""	"outside"	"outside"	1766	9793	0	9793	0	9793	9793	0	9793	516	0	0	800	1082	882	TRUE	TRUE	TRUE
"32"	"M"	"291"	"Exp2"	"Rec32"	"THIRD-TEST"	"NCOM"	"IDENTITY"	5	"D2"	"OBJ-11"	"UNTEN"	"OBEN"	8	2	11774	TRUE	1932	1349	1199	783	0	799	799	""	"outside"	"outside"	1282	12393	0	4381	6363	10744	4381	6096	10477	733	883	0	733	799	916	TRUE	TRUE	TRUE
"32"	"M"	"291"	"Exp2"	"Rec32"	"THIRD-TEST"	"NCOM"	"LOCATION"	6	"D1"	"OBJ-1"	"OBEN"	"OBEN"	9	2	15152	TRUE	1961	1778	483	483	549	0	549	"outside"	""	"outside"	549	13141	0	10676	2465	13141	10676	2465	13141	116	950	683	2832	833	167	TRUE	TRUE	TRUE
"32"	"M"	"291"	"Exp2"	"Rec32"	"THIRD-TEST"	"COM"	"NO"	1	"D2"	"OBJ-7"	"OBEN"	"OBEN"	10	2	15149	FALSE	2782	2449	2782	2449	766	0	766	"outside"	""	"outside"	2132	13707	999	6929	5779	12708	6929	5779	12708	183	2498	500	965	33	499	TRUE	TRUE	TRUE
"32"	"M"	"291"	"Exp2"	"Rec32"	"THIRD-TEST"	"NCOM"	"NO"	4	"D2"	"OBJ-4"	"UNTEN"	"UNTEN"	11	2	15122	TRUE	2847	2664	866	866	0	866	866	""	"outside"	"outside"	866	11843	1848	4065	5546	9611	4065	5546	9611	183	233	167	833	550	600	TRUE	TRUE	TRUE
"32"	"M"	"291"	"Exp2"	"Rec32"	"THIRD-TEST"	"COM"	"LOCATION"	3	"D1"	"OBJ-10"	"OBEN"	"UNTEN"	12	2	15148	FALSE	4630	4264	4630	4264	866	0	866	"outside"	""	"outside"	1183	13775	0	8628	4364	12992	8628	4364	12992	866	916	516	916	316	384	TRUE	TRUE	TRUE
