"ID"	"Sex"	"Age_Days"	"Exp"	"Rec"	"TestPhase"	"ConSoc"	"ConOut"	"Condition"	"Dyad"	"Object"	"ObjectPos"	"ObjectPosAct"	"TrialRun"	"TrialCon"	"OutcomeDuration"	"TwoSecCheck"	"TotalLTScreenOut"	"TotalLTObjectOut"	"LTScreenOut"	"LTObjectOut"	"FirstLookDurationObjectOutTop"	"FirstLookDurationObjectOutBottom"	"FirstLookDurationObjectOut"	"FirstLookDurationObjectOutTopReason"	"FirstLookDurationObjectOutBottomReason"	"FirstLookDurationObjectOutReason"	"FirstLookDurationScreen"	"TotalLTScreenAct"	"TotalLTObjectAct"	"TotalLTActorLeftAct"	"TotalLTActorRightAct"	"TotalLTActorSumAct"	"TotalLTFaceLeftAct"	"TotalLTFaceRightAct"	"TotalLTFaceSumAct"	"LTScreenAct_5to6"	"LTScreenAct_7to8"	"LTScreenAct_9to10"	"LTScreenAct_11to12"	"LTScreenAct_13to14"	"LTScreenAct_15to16"	"InterPhaseCheckerSoc"	"InterPhaseCheckerGazing"	"InterPhaseCheckerValid"
"34"	"F"	"303"	"Exp4"	"Rec34"	"THIRD-TEST"	"NCOM"	"IDENTITY"	5	"D1"	"OBJ-10"	"UNTEN"	"UNTEN"	1	1	15154	TRUE	3895	3429	949	949	0	333	333	""	"outside"	"outside"	333	13807	0	5497	8127	13624	5497	7977	13474	899	0	965	350	899	550	TRUE	TRUE	TRUE
"34"	"F"	"303"	"Exp4"	"Rec34"	"THIRD-TEST"	"NCOM"	"LOCATION"	6	"D2"	"OBJ-2"	"OBEN"	"UNTEN"	2	1	15152	TRUE	4893	3693	716	583	600	116	600	"outside"	"outside"	"outside"	783	13890	0	4696	8977	13673	4696	8844	13540	617	350	50	50	234	416	TRUE	TRUE	TRUE
"34"	"F"	"303"	"Exp4"	"Rec34"	"THIRD-TEST"	"COM"	"NO"	1	"D2"	"OBJ-15"	"OBEN"	"OBEN"	3	1	15119	TRUE	4631	2699	3315	2116	683	200	683	"outside"	"outside"	"outside"	1382	13957	483	5829	7345	13174	5829	7345	13174	566	533	100	783	899	400	TRUE	TRUE	TRUE
"34"	"F"	"303"	"Exp4"	"Rec34"	"THIRD-TEST"	"COM"	"IDENTITY"	2	"D2"	"OBJ-12"	"UNTEN"	"UNTEN"	4	1	15136	TRUE	5195	3413	3913	3130	333	1832	1832	"outside"	"outside"	"outside"	2481	11042	433	3782	6577	10359	3782	6577	10359	582	883	300	983	84	233	TRUE	TRUE	TRUE
"34"	"F"	"303"	"Exp4"	"Rec34"	"THIRD-TEST"	"NCOM"	"NO"	4	"D1"	"OBJ-13"	"OBEN"	"OBEN"	5	1	15098	TRUE	4164	3131	3215	1566	999	0	999	"outside"	""	"outside"	1532	11412	350	4731	6331	11062	4231	6331	10562	766	433	650	782	516	783	TRUE	TRUE	TRUE
"34"	"F"	"303"	"Exp4"	"Rec34"	"THIRD-TEST"	"COM"	"LOCATION"	3	"D2"	"OBJ-3"	"UNTEN"	"OBEN"	6	1	15143	TRUE	4813	4114	2381	2098	233	1515	1515	"outside"	"outside"	"outside"	1832	11559	0	4163	6313	10476	4163	6130	10293	650	116	466	183	884	0	TRUE	TRUE	TRUE
"34"	"F"	"303"	"Exp4"	"Rec34"	"THIRD-TEST"	"NCOM"	"IDENTITY"	5	"D1"	"OBJ-9"	"OBEN"	"OBEN"	7	2	15133	TRUE	6512	5862	6345	4146	1732	0	1732	"outside"	""	"outside"	2099	11744	0	6896	4848	11744	6746	4731	11477	649	0	283	0	566	1083	TRUE	TRUE	TRUE
"34"	"F"	"303"	"Exp4"	"Rec34"	"THIRD-TEST"	"COM"	"NO"	1	"D2"	"OBJ-16"	"UNTEN"	"UNTEN"	8	2	8170	FALSE	3248	2815	3248	2815	0	1599	1599	""	"outside"	"outside"	1882	8480	0	2932	5415	8347	2932	5415	8347	383	533	850	250	0	0	TRUE	TRUE	TRUE
"34"	"F"	"303"	"Exp4"	"Rec34"	"THIRD-TEST"	"NCOM"	"LOCATION"	6	"D1"	"OBJ-1"	"UNTEN"	"OBEN"	9	2	15125	TRUE	3047	2348	2431	1832	0	933	933	""	"outside"	"outside"	1249	12494	0	7546	4948	12494	7546	4948	12494	467	0	900	250	50	800	TRUE	TRUE	TRUE
"34"	"F"	"303"	"Exp4"	"Rec34"	"THIRD-TEST"	"COM"	"IDENTITY"	2	"D2"	"OBJ-11"	"OBEN"	"OBEN"	10	2	15161	TRUE	3619	3302	2566	2366	916	0	916	"timecriterion"	""	"timecriterion"	1249	11010	583	3280	7147	10427	3147	7147	10294	283	916	566	300	0	766	TRUE	TRUE	TRUE
"34"	"F"	"303"	"Exp4"	"Rec34"	"THIRD-TEST"	"COM"	"LOCATION"	3	"D2"	"OBJ-4"	"OBEN"	"UNTEN"	11	2	15115	TRUE	3415	2582	1016	333	334	0	334	"outside"	""	"outside"	1083	9660	0	2449	6295	8744	2449	6295	8744	483	300	700	333	0	67	TRUE	TRUE	TRUE
"34"	"F"	"303"	"Exp4"	"Rec34"	"THIRD-TEST"	"NCOM"	"NO"	4	"D1"	"OBJ-14"	"UNTEN"	"UNTEN"	12	2	15145	FALSE	2498	2498	2498	2498	0	1599	1599	""	"outside"	"outside"	1599	9913	0	1667	8046	9713	1667	7896	9563	616	783	817	0	916	0	TRUE	TRUE	TRUE
